SampleNumber,Test,Location,CollectDate,CollectTime,OrderDetails_User1,OrderDetails_User2,OrderDetails_User4,OrderDetails_User3,Result,Param,Results_Units,Site
251009003-006,TP,,08-Oct-25,00-Jan-00,4.0,,,,-0.65,TP,ugP/L,Field Blank
251009003-006,NOX,,08-Oct-25,00-Jan-00,4.0,,,,13.403,NOX,ugN/L,Field Blank
251009003-006,TN,,08-Oct-25,00-Jan-00,4.0,,,,-21.802,TN,ugN/L,Field Blank
251009003-006,tNH3,,08-Oct-25,00-Jan-00,4.0,,,,257.895,tNH3,ugN/L,Field Blank
251009003-006,Alk,,08-Oct-25,00-Jan-00,4.0,,,,3.000000,Alk,mg/L as CaCO3,Field Blank
251009003-006,pH_L,,08-Oct-25,00-Jan-00,4.0,,,,5.82,pH_L,,Field Blank
251023003-001,tNH3,,23-Oct-25,00-Jan-00,3.8,,,,1.135,tNH3,ugN/L,Field Blank
251023003-001,NOX,,23-Oct-25,00-Jan-00,3.8,,,,-1.824,NOX,ugN/L,Field Blank
251023003-001,Alk,,23-Oct-25,00-Jan-00,3.8,,,,2.000000,Alk,mg/L as CaCO3,Field Blank
251023003-001,TN,,23-Oct-25,00-Jan-00,3.8,,,,-22.365,TN,ugN/L,Field Blank
251023003-001,pH_L,,23-Oct-25,00-Jan-00,3.8,,,,5.90,pH_L,,Field Blank
251023003-002,tNH3,,23-Oct-25,00-Jan-00,3.8,,,,34.88,tNH3,ugN/L,North-Epi
251023003-002,TN,,23-Oct-25,00-Jan-00,3.8,,,,362.273,TN,ugN/L,North-Epi
251023003-002,NOX,,23-Oct-25,00-Jan-00,3.8,,,,37.965,NOX,ugN/L,North-Epi
251023003-002,Alk,,23-Oct-25,00-Jan-00,3.8,,,,66.350000,Alk,mg/L as CaCO3,North-Epi
251023003-002,pH_L,,23-Oct-25,00-Jan-00,3.8,,,,7.47,pH_L,,North-Epi
251023003-003,tNH3,,23-Oct-25,00-Jan-00,3.8,,,8.0,24.396,tNH3,ugN/L,North-Met
251023003-003,NOX,,23-Oct-25,00-Jan-00,3.8,,,8.0,38.661,NOX,ugN/L,North-Met
251023003-003,TN,,23-Oct-25,00-Jan-00,3.8,,,8.0,432.343,TN,ugN/L,North-Met
251023003-003,Alk,,23-Oct-25,00-Jan-00,3.8,,,8.0,66.350000,Alk,mg/L as CaCO3,North-Met
251023003-003,pH_L,,23-Oct-25,00-Jan-00,3.8,,,8.0,7.56,pH_L,,North-Met
251023003-004,tNH3,,23-Oct-25,00-Jan-00,3.8,,,12.0,27.182,tNH3,ugN/L,North-Hyp
251023003-004,NOX,,23-Oct-25,00-Jan-00,3.8,,,12.0,38.929,NOX,ugN/L,North-Hyp
251023003-004,TN,,23-Oct-25,00-Jan-00,3.8,,,12.0,381.569,TN,ugN/L,North-Hyp
251023003-004,Alk,,23-Oct-25,00-Jan-00,3.8,,,12.0,65.300000,Alk,mg/L as CaCO3,North-Hyp
251023003-004,pH_L,,23-Oct-25,00-Jan-00,3.8,,,12.0,7.61,pH_L,,North-Hyp
251023003-005,tNH3,,23-Oct-25,00-Jan-00,3.8,,A,17.5,31.343,tNH3,ugN/L,North-Bot-A
251023003-005,TN,,23-Oct-25,00-Jan-00,3.8,,A,17.5,386.892,TN,ugN/L,North-Bot-A
251023003-005,NOX,,23-Oct-25,00-Jan-00,3.8,,A,17.5,42.051,NOX,ugN/L,North-Bot-A
251023003-005,Alk,,23-Oct-25,00-Jan-00,3.8,,A,17.5,66.350000,Alk,mg/L as CaCO3,North-Bot-A
251023003-005,pH_L,,23-Oct-25,00-Jan-00,3.8,,A,17.5,7.46,pH_L,,North-Bot-A
251023003-006,NOX,,23-Oct-25,00-Jan-00,3.8,,B,17.5,39.089,NOX,ugN/L,North-Bot-B
251023003-006,TN,,23-Oct-25,00-Jan-00,3.8,,B,17.5,395.133,TN,ugN/L,North-Bot-B
251023003-006,tNH3,,23-Oct-25,00-Jan-00,3.8,,B,17.5,40.617,tNH3,ugN/L,North-Bot-B
251023003-006,Alk,,23-Oct-25,00-Jan-00,3.8,,B,17.5,65.300000,Alk,mg/L as CaCO3,North-Bot-B
251023003-006,pH_L,,23-Oct-25,00-Jan-00,3.8,,B,17.5,7.54,pH_L,,North-Bot-B
